UUID,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
C4ACC7F9-C1F7-46E2-9733-804915B55330,1.0,111.0,0.0,0.0,0.0,111.0,111.0
D1339008-1E3A-45D7-A38A-A369EFCE6EE6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43C2DBA1-95AE-4582-AA45-E77AC4644979,1.0,390.0,62.4,0.0,0.0,436.79999999999995,436.8
142C601C-E955-41C5-802F-1C2606FEF386,1.0,946.0,151.36,0.0,0.0,1097.3600000000001,1097.36
9D97C5A2-ECCF-4DFD-B526-85008EF25388,1.0,0.0,0.0,0.0,0.0,0.0,0.0
351D4E24-A40D-49B8-99A8-108CEC90FC25,1.0,0.0,0.0,0.0,0.0,0.0,639.19
32DDAF51-BA7D-4C4A-8A29-FD6336AFEBC6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
F2520A74-0C84-45D8-8675-E2F9B3214074,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3010ECF2-40A6-44C9-92F0-475BD439D173,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EE0BAA39-3F0A-4ABB-9F95-A71EB2240D30,1.0,0.0,0.0,0.0,0.0,0.0,1353.5
D1B06324-6831-4BD4-91C6-9CDE55406C6F,1.0,0.0,86.34,0.0,0.0,0.0,0.0
A2F24A68-F039-442E-A7BF-47B7DDE087E9,1.0,650.0,104.0,0.0,0.0,754.0,754.0
5361BBF2-EAF5-4F6A-9CE3-F3457FC99820,1.0,382.79,61.25,0.0,0.0,444.04,444.04
72EB4D81-F679-43E7-AB72-CC37894A59D0,1.0,9096.3,0.0,0.0,0.0,10551.71,10551.71
A2AC48EA-5418-11EB-BC69-00155D014009,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3A69D1EB-F511-45FF-9904-F92D2F407DEB,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10C4DB1E-F21E-4BF8-872E-0445F34BE83F,1.0,62.07,9.93,0.0,0.0,72.0,72.0
6EABF168-9694-4DBD-8884-AA62A181D99B,1.0,248.88,39.82,0.0,0.0,288.7,288.7
30F0B89F-102A-4CC4-84DE-BB32DDC83B02,1.0,140.08,22.42,0.0,0.0,162.5,162.5
576BB7F0-F7FD-4826-93CA-3E909B4753C6,1.0,468.0,0.0,0.0,0.0,468.0,468.0
9694523E-B7AB-4FB4-AC62-DD1B7CAEEBD6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97BD3D87-C017-4C1E-AA0E-07776EBF7C65,1.0,532.2,85.15,0.0,0.0,617.35,617.35
699BA4BA-4109-49B2-B270-86926EE71C48,1.0,3293.48,487.92,0.0,0.0,3781.4,3781.4
8FF21F0F-037F-4180-861A-4CF49B5041FB,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6BB84382-ED75-480D-8301-33B43135B293,1.0,6660.0,1065.6,0.0,0.0,6349.200000000001,6349.2
20A1BEDF-45CB-4FAB-AF6D-2C43B846B563,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DA1EEF0A-55D4-11EB-9296-00155D014009,1.0,6358.0,1017.28,0.0,0.0,7375.28,7375.28
2F6915C4-BA15-47B7-8B18-C39329FD213E,1.0,631.6,98.17,0.0,0.0,729.77,729.77
CE542F8C-4241-4AF6-9300-4FA4A2979095,1.0,97.99,15.68,0.0,0.0,113.66999999999999,113.67
